0ad 0.28.0-2
alsa-utils 1.2.15.2-2
alsi 0.4.9-1
arandr 0.1.11-6
autotiling 1.9.3-4
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bc 1.08.2-1
bibata-cursor-theme 2.0.7-1
blueberry 1.4.8-2
bluez 5.86-4
bluez-utils 5.86-4
brave-bin 1:1.88.134-1
brightnessctl 0.5.1-3
btop 1.4.6-1
cups 2:2.4.16-2
cups-pdf 3.0.2-1
cups-pk-helper 0.2.7-2
dhclient 4.4.3.P1-4
dmenu 5.4-1
dunst 1.13.1-1
efibootmgr 18-3
fastfetch 2.60.0-1
feh 3.11.3-1
ffmpegthumbnailer 2.3.0-1
ffmpegthumbs 25.12.3-1
file-roller 44.6-1
firefox 148.0.2-1
fish 4.5.0-2
fzf 0.70.0-1
git 2.53.0-1
gst-plugin-pipewire 1:1.6.2-1
gvfs 1.58.3-1
hplip 1:3.25.8-6
htop 3.4.1-1
i3-wm 4.25.1-1
i3blocks 1.5-4
i3lock 2.16-1
i3status 2.15-1
intel-media-driver 25.4.6-1
intel-ucode 20260227-1
iwd 3.12-1
kitty 0.46.1-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-still 25.8.5-3
libva-intel-driver 2.4.1-6
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-slick-greeter 2.2.6-1
linux 6.19.8.arch1-1
linux-firmware 20260309-1
linux-lts 6.18.19-1
lsd 1.2.0-2
lxappearance 0.6.4-3
nano 8.7.1-1
neovim 0.11.6-1
networkmanager 1.56.0-1
nitrogen 1.6.1-6
nodejs 25.8.1-1
nordic-darker-theme 2.2.0-1
noto-fonts 1:2026.03.01-1
noto-fonts-emoji 1:2.051-1
npm 11.12.0-1
okular 25.12.3-1
openssh 10.2p1-2
pavucontrol 1:6.2-1
picom 13-1
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
polybar 3.7.2-2
power-profiles-daemon 0.30-1
python-pip 26.0.1-1
ripgrep 15.1.0-2
rofi 2.0.0-1
smartmontools 7.5-1
sudo 1.9.17.p2-2
system-config-printer 1.5.18-6
thunar 4.20.7-1
thunar-archive-plugin 0.6.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
tumbler 4.20.1-1
unzip 6.0-23
vim 9.2.0204-1
vulkan-intel 1:26.0.3-1
vulkan-nouveau 1:26.0.3-1
vulkan-radeon 1:26.0.3-1
wget 1.25.0-3
wireless_tools 30.pre9-5
wireplumber 0.5.13-1
xcursor-vanilla-dmz 0.4.5.3-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-xinit 1.4.4-1
xorg-xrandr 1.5.3-1
xss-lock 0.4.0-1
xterm 407-1
yay 12.5.7-1
yay-debug 12.5.7-1
zip 3.0-11
zram-generator 1.2.1-1
zsh 5.9-5
